case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,topology_violations,append_s
lot_1984,2758,4232,334,334,0.42107259802287444,0.07561020803404972,404560,334,334,334,1375.17578125,a6c3738ba19b1bc069177eddf419e9a21212ea31c04238aa9f504c4be3f51db6,"[[47.1704, 21.718, 0.0], [64.077819095, 40.768563815, 15.426]]",0,0.2937963320291601
lot_1989,1622,2592,172,172,0.23662346199853346,0.04669668496353552,223148,172,172,172,1375.17578125,2fcbff31c27101b7fd50c74c479ef6900c57b29c951d59f33583e2051280ce0a,"[[-11.850466636, 11.468, 0.0], [17.9521, 34.695387933, 3.598]]",0,0.30891249602427706
lot_1987,5998,10160,502,502,0.7172632529982366,0.13470633799443021,588324,502,502,502,1375.17578125,f8d61390c405475c1af7041f9fdca02769203d241b5a5903a6bcae539b54cd27,"[[50.5766, 12.9055, 0.0], [75.155821341, 37.819250332, 12.120000000000001]]",0,0.37307332002092153
lot_2000,4102,6832,370,370,0.5201455919886939,0.0834636990330182,441024,370,370,370,1375.17578125,7a0135f4129b1c672caafb35ca00b9b699a6ad54ef258dde1be1b3dcfc882a82,"[[-2.561010394, -2.724528144, 0.0], [15.4521, 16.1553, 12.545]]",0,0.3569708219729364
lot_1993,2430,3788,285,285,0.43524342199089006,0.06913310702657327,364364,285,285,285,1375.17578125,8dfc11c4b7c73bf8d9548e3544e36b8050e7262b65dbd3a79f567bfd9f355539,"[[-17.08138583, 14.2804, 0.0], [-2.5789999999999997, 28.388005337, 8.969]]",0,0.4870818990166299
lot_1997,3148,4972,357,357,0.5217375279753469,0.08444581099320203,469988,357,357,357,1375.17578125,1ebaece50625cb2c90456dd383952414c01f12d70d8ba7364e528343a67d548e,"[[-20.330890279, 2.743706006, 0.0], [8.6396, 22.590200462, 3.441]]",0,0.4684549309895374
lot_2002,3982,6320,456,456,0.6394706530263647,0.10977614001603797,578040,456,456,456,1375.17578125,4079f062567e29eb9d5db99bc5f1a638ec8169f9b54f03f7fe0449aabbf3c860,"[[4.196709731, -14.513470732, 0.0], [29.4831, 10.343, 9.671000000000001]]",0,0.4810926420032047
lot_1992,1456,2408,137,137,0.22082650300581008,0.03327442501904443,170092,137,137,137,1375.17578125,d1c586503f6e4673ed50097926c580dfddcb77ab62202d48ed4b436279a0bec8,"[[67.0451, 15.2181, 0.0], [79.250124215, 28.258347857, 6.437]]",0,0.5051771299913526
lot_1999,5224,8888,429,429,0.657924129976891,0.1240550609654747,508372,429,429,429,1375.17578125,74165daa532f5c06a19f81b9493a03d22bf871d9b9923045031d5c8b8d6c9e12,"[[46.1705, -16.506202967, 0.0], [83.618774514, 18.968, 6.598]]",0,0.5341796260327101
lot_1995,4930,7776,547,547,0.7275673190015368,0.1289740750216879,689248,547,547,547,1375.17578125,4d1accd4d479589f47a7a39d443242681e34d01e827294ab84118bb286f6144a,"[[71.3888, 4.539473592, 0.0], [90.58353235502784, 24.88451092, 6.0920000000000005]]",0,0.5588612949941307
lot_2005,3128,4936,361,361,0.526448323042132,0.09339779597939923,454336,361,361,361,1375.17578125,b98b8fab2b5acf0072d420e5910fe538408fbd6d46470594de14263866a844dd,"[[38.0768, -26.033027829, 0.0], [65.262278101, -0.0318, 9.013]]",0,0.6076990180299617
lot_2008,7508,12672,625,625,0.92291489103809,0.16018632100895047,727304,625,625,625,1375.17578125,64289ac24d08b2e655173614b6d6bfb32e530ab893fab16cfa6b557154b446f0,"[[17.80808788, -32.779926649, 0.0], [50.0142, -1.8442999999999996, 8.981]]",0,0.6488962259609252
lot_2018,2196,3744,179,179,0.2833395109628327,0.04561157600255683,222660,179,179,179,1375.17578125,30aafbc40f88e29a01775ec4ea5b76607d6b09eed2e15288b8d3e7047982dc26,"[[38.946887954, -37.030587179, 0.0], [56.983174293, -19.5316, 3.3939999999999997]]",0,0.6786978429881856
lot_2459,2510,4000,283,283,0.45479472901206464,0.09749128797557205,372708,283,283,283,1375.17578125,ecb9451598d28c0c8efc8ebd32f9404aad8cfe36d21f1dc69c0c4959e7ac1cab,"[[88.682814156, 21.689118776, 0.0], [102.676880404, 34.1892, 6.823]]",0,0.6770588969811797
lot_2941,10234,17552,810,810,1.3147447609808296,0.19359895901288837,977104,810,810,810,1375.17578125,9b34b77ca4a5d6b693c9b578e6b0697bf323fef6f50b769350b97848436a48f8,"[[-33.595149118, 25.346682385, 0.0], [-5.016974838, 54.9231, 9.533]]",0,0.7416569599881768
lot_2455,1146,1928,100,100,0.1558575090020895,0.02485123899532482,127820,100,100,100,1375.17578125,8ad5f0d0f5b7a50f7853c4bee1c887f19c1bfa27c58179617bfe207ab7973931,"[[66.489316115, 42.218122159, 0.0], [81.5194, 58.2198, 3.4379999999999997]]",0,0.7441904040169902
lot_2454,1022,1588,121,121,0.17797990702092648,0.030214122030884027,154992,121,121,121,1375.17578125,ae2341c56749f9679c7915e3f801f90ce9fc0e73f2a68b81b4e683261a5938b2,"[[63.581316311, 47.978496833, 0.0], [75.2512, 60.7179, 6.6290000000000004]]",0,0.7984981670160778
lot_2453,3550,5536,412,412,0.5321205040090717,0.09777581802336499,511268,412,412,412,1375.17578125,bad7251c38148e9bfd853d05d47534ac8a6eac00628bfe9bfbdb65563745c727,"[[56.608155026, 50.104660836, 0.0], [72.3612, 66.509, 9.19]]",0,0.7631712480215356
lot_2452,3092,4792,360,360,0.4762984730186872,0.10798688000068069,443304,360,360,360,1375.17578125,9f8234337a509bf9f69df4c2ddc675f4f39433aa80e485aef4135a6694a004fe,"[[47.679492797, 56.163416598, 0.0], [65.7628, 74.4546, 6.268000000000001]]",0,0.908108567004092
