case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,append_s
lot_2015,12560,23304,481,481,3.076823470008094,0.1569439920131117,1171732,481,481,486,288.046875,53282e390aae344f9c08146e0456005f2795406cb5e4e4ff613eb53ea552edd9,"[[76.4593059286806, -31.6531000000787, 0.0], [96.8194, -11.452655948917883, 9.913]]",1.2801471360144205
lot_2458,13550,25858,337,337,2.967327186022885,0.12251659296452999,1006636,337,337,342,293.5390625,bfbfcd3df3e697325db5aaacc0a43019f8a164737e9a6129628fe6f86b67e6ce,"[[79.38041749797193, 28.741420959263813, 0.0], [102.41450000009756, 52.79130000006329, 9.51]]",1.3205693589989096
lot_1901,11474,20618,617,617,2.214101603021845,0.19489945797249675,1172500,617,617,622,299.21484375,b1d9de37a7e382f7b69a7b7072bd196dbd2e8f29c9233089d5e9c58b1befb72e,"[[18.991399999972167, -61.761909087092256, 0.0], [38.82826912902273, -39.516810124065564, 6.521]]",1.4263281199964695
lot_2457,5504,10652,96,96,1.3442982319975272,0.043289649998769164,414200,96,96,100,305.41796875,6478184860c4cc349dbd5f62ba1fbdff041d3ff0054eb46025a4cd2a0a524826,"[[76.3208143278601, 36.80029855230613, 0.0], [93.21830000012332, 55.397700000018546, 6.854]]",1.3538131849491037
lot_1855,14802,27556,554,554,2.7848555910168216,0.201613406999968,1180248,554,554,557,308.12109375,b4a2ecf68eea94cccd6a38dc93e31f8bf148e7b1b9bc12c721fa6cb60c68828a,"[[97.8958, -7.278500000080381, 0.0], [112.20028835979421, 4.533275845612393, 12.466000000000001]]",1.4303691979730502
lot_2460,5398,10152,172,172,1.0903698059846647,0.0580146629945375,461880,172,172,176,314.2578125,3157f87e95706a883ea6c3b5e85442fc2a9e071311cbfbdd1cdaaf571cc8393d,"[[93.32, 26.120716186772416, 0.0], [107.54152741212644, 39.7026, 6.363]]",1.415186534053646
lot_2456,8518,16426,161,161,2.158937052008696,0.06905595195712522,684048,161,161,166,316.71484375,bb9c13d7eed9b5a4767557e705a22c2c4a17ed87b932b94d2b0ddce3176e1640,"[[73.1409155874891, 39.43059746007203, 0.0], [90.1641, 58.5151, 9.216000000000001]]",1.4386459929519333
lot_2003,6686,13228,38,38,1.3299461449496448,0.03332506801234558,412856,38,38,39,319.24609375,f4319c44de4d0e60f691cacea310cc2de91d311f3507d4bc207d707d8daa3750,"[[-39.49690644921214, -16.2894, 0.0], [-13.140482566905595, 8.975225527674883, 6.791]]",1.5289364160271361
lot_2026,19870,36966,728,728,5.029753857990727,0.2645060810027644,1823116,728,728,735,321.05078125,1b0c77ae1589b22d4c9c1359fd8d44b744cc5f705449810399ff6e659c10d71b,"[[7.8767, -56.49050000030997, 0.0], [32.44742721656758, -31.422909758352276, 12.507]]",1.5067483879975043
lot_2602,19760,36418,834,834,3.6709509599604644,0.25072876102058217,1592904,834,834,836,330.453125,d6df320ac3defc977af6a248e9c12b896b2e1dd69cfca30aa1bd483d688e4439,"[[14.134384759822641, 83.8959375030348, 0.0], [31.010215903510044, 100.42590000031007, 11.643]]",1.6402453879709356
lot_1843,21454,38838,1096,1096,5.346147979958914,0.3101542310323566,2208012,1096,1096,1102,341.1015625,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.791900000097776, 49.334406327462766, 0.0], [18.097520914777004, 92.56460626225505, 6.168]]",1.6956406449899077
lot_1994,7836,15548,34,34,1.902739315002691,0.04027316195424646,513080,34,34,37,354.7265625,3a264bf4e801deb916e82eccf5d0f306f56e40f6f2d7437490c048b22e8dc868,"[[-50.791200000272056, 9.755855939634431, 0.0], [-35.213738942765, 25.780091791991254, 11.958]]",1.6839171549654566
lot_1828,7090,13008,316,316,1.465082656010054,0.09514558204682544,700836,316,316,320,354.98828125,a562e71acef252cf63875e130601d804970d7a2d506dc1fc6ce2c9827624012b,"[[45.43199999984777, -67.9606000001284, 0.0], [61.27143106182497, -53.67977265843484, 6.391]]",1.7261085290228948
